# Question: 평가 질문 (test02.jsonl의 question)
# Reference Answer: 기준 정답 (test02.jsonl의 answer)
# Base_Answer: 베이스 모델의 자체 지식 기반 답변 (contexts 미제공)
# Finetuned_Answer: 파인튜닝 모델의 자체 지식 기반 답변 (contexts 미제공)
# accuracy: 정답과의 정확성 (1~5)
# completeness: 정보의 충분성/누락 없음 (1~5)
# clarity: 표현의 명료성/가독성 (1~5)
# overall: 종합 점수 (1~5)
# rater: 평가자 이름/ID
# notes: 자유 코멘트
Question,Reference Answer,Base_Answer,Finetuned_Answer,accuracy,completeness,clarity,overall,rater,notes
쏘나타 디 엣지는 몇 개의 엔진 라인업으로 운영되나요?,쏘나타 디 엣지는 총 5개의 엔진 라인업으로 운영됩니다.,"쏘나타 디 엣지(Sonata The Edge)는 현대자동차에서 출시된 중형 세단 모델로, 주력 엔진 라인업은 다음과 같이 운영됩니다.

1. 가솔린 터보 엔진 (2.5 터보)
2. 디젤 엔진 (2.0 디젤, 단종 가능성 있음)
3. 하이브리드 엔진 (2.0 하이브리드)

최근에는 친환경 및 성능 중심의 가솔린 터보가 주력이며, 일부 시장에서는 디젤 또는 하이브리드가 선택 가능합니다.  
정확한 현재 라인업은 생산 시기와 지역에 따라 다를 수 있으니, 최신 정보는 현대자동차 공식 홈페이지 또는 출고 차량 옵션을 확인하시기 바랍니다.",쏘나타 디 엣지는 2개의 엔진 라인업으로 운영됩니다.,,,,,,
기아 EV9이 수상한 세계 3대 디자인 대회는 무엇인가요?,"기아 EV9은 iF 디자인 어워드, 레드 닷 디자인 어워드, IDEA 디자인 어워드에서 수상했습니다.","기아 EV9이 수상한 세계 3대 디자인 대회는 다음과 같습니다:

1. Red Dot Design Award (레드 닷 디자인 어워드)
2. iF Design Award (iF 디자인 어워드)
3. IDEA Design Award (IDEA 디자인 어워드)

이 세 대회는 세계적으로 권위 있는 디자인 상입니다.","기아 EV9은 레드 닷 어워드, IDEA 디자인상, 그리고 IDEA 디자인상을 수상했습니다.",,,,,,
네오룬의 디자인에서 강조된 개념은 무엇인가?,네오룬의 디자인은 '단순함 속의 아름다움'을 강조한다.,"네오룬(NeoLUN)의 디자인에서 강조된 개념은 다음과 같습니다.

1. **미래지향적이고 혁신적인 스타일**  
   네오룬은 기존 전기차와 차별화되는 독특한 외관과 곡선, 미래지향적 디자인 언어를 적용했습니다.

2. **공간 활용성 및 실내 중심 설계**  
   실내 공간의 효율성과 사용자 경험을 중시하여 넓고 쾌적한 실내 환경을 제공하는 데 초점을 두었습니다.

3. **친환경 소재와 지속가능성**  
   친환경 소재 사용과 친환경 생산 공정을 강조하여 친환경성을 디자인의 핵심 가치로 삼았습니다.

4. **첨단 기술과의 조화**  
   자율주행, 인포테인먼트 등 첨단 기술이 자연스럽게 녹아든 디자인이 특징입니다.

5. **개성 있는 개방감**  
   파노라믹 글라스 루프 등으로 개방감과 개성을 강조한 디자인이 돋보","네오룬의 디자인에서는 ""미래로 가는"" 그리고 ""아직 가보지 못한"" 이라는 두 가지 개념이 강조되었다.",,,,,,
더 뉴 아반떼의 '컴포트패키지 1'에 포함된 주요 사양은 무엇입니까?,"'컴포트패키지 1'에는 앞좌석 통풍시트, 운전석 파워시트 & 전동식 럼버서포트, 운전석 세이프티 파워윈도우, 전방 주차 거리 경고가 포함되어 있습니다.","더 뉴 아반떼의 컴포트패키지 1에는 다음과 같은 주요 사양이 포함됩니다:

- 17인치 알로이 휠
- LED 주간주행등(DRL)
- 하이빔 보조
- 운전석 파워시트
- 열선시트(3단)
- 전동식 사이드미러(열선 내장)
- 레인센서
- 후방주차보조시스템(후방카메라)
- 후방디퓨저
- 에코모드

※ 차량 트림 및 연식에 따라 일부 항목의 포함 여부가 다를 수 있습니다. 정확한 세부 사양은 공식 현대자동차 카탈로그나 홈페이지를 참고하시기 바랍니다.","더 뉴 아반떼의 '컴포트패키지 1'에는 아래와 같은 주요 사양이 포함되어 있습니다:
- 버튼시동 & 스마트키 시스템
- 스마트 트렁크
- 전방 주차 거리 경고
- 후방 모니터
- 앞좌석 통풍시트
- 운전석 파워시트
- 동승석 에어벤트
- 세이프티 파워윈도우(운전석)",,,,,,
현대모비스가 다음 단계로 넘어가기 위해 필요한 것은 무엇인가요?,현대모비스가 다음 단계로 넘어가기 위해서는 제안서 준비와 경쟁우위 요소를 잘 알려야 합니다.,"현대모비스가 다음 단계로 도약하기 위해 필요한 요소는 다음과 같습니다:

1. **기술 역량 강화**  
   - 전장, 자율주행, 친환경 등 미래 모빌리티 핵심 기술 개발 및 확보
2. **글로벌 시장 진출 확대**  
   - 해외 완성차 및 부품사와의 협력 강화, 현지 생산·판매 네트워크 구축
3. **제품 포트폴리오 다변화**  
   - 신성장 동력(전동화 부품, 커넥티비티, 소프트웨어 등) 제품군 확대
4. **경영 효율성 및 수익성 개선**  
   - 비용 절감, 공급망 최적화, 수주 관리 강화
5. **ESG 경영 및 지속가능성**  
   - 친환경 소재·부품 개발, 사회적 책임 활동 강화

이 외에 구체적으로 필요한 사항은 현대모비스의 사업 현황과 시장 환경에 따라 달라질 수 있습니다. 추가 정보가 필요하다면 구체적인 사업 분야나 목표를","현대모비스가 다음 단계로 넘어가기 위해서는 기술력 확보와 수익성 개선이 필요합니다. 현재 현대모비스는 전동화, 자율주행 등 미래 모빌리티 기술에 대한 연구개발을 진행하고 있으며, 이를 통해 새로운 비즈니스 모델을 구축하고 있습니다. 또한, 수익성 개선을 위해 원가 절감과 신규 사업 분야 진출을 추진하고 있습니다.",,,,,,
아슬란 모델에 적용된 '액티브 후드 시스템'의 목적은 무엇인가요?,아슬란 모델의 '액티브 후드 시스템'은 보행자 충돌 시 후드를 들어올려 보행자의 상해를 저감시키는 목적을 가지고 있습니다.,"아슬란 모델에 적용된 '액티브 후드 시스템'의 목적은 차량 도난 방지 및 안전성 향상입니다. 이 시스템은 후드(본네트)를 자동으로 잠그거나 여는 기능을 하며, 비정상적인 시도 감지 시 경고를 제공하여 차량 보호에 기여합니다.",아슬란 모델에 적용된 '액티브 후드 시스템'은 후드 상단 및 하단 충돌 발생 시 후드 변형을 최소화해 승객을 보호하는 것이 목적입니다.,,,,,,
아이오닉 6의 전면 매트릭스 LED 램프와 리어 스포일러에 형상화된 픽셀의 수는 몇 개인가?,아이오닉 6의 전면 매트릭스 LED 램프와 리어 스포일러에는 약 700개 이상의 픽셀이 형상화되어 있다.,"아이오닉 6의 전면 매트릭스 LED 램프와 리어 스포일러에 형상화된 픽셀의 수에 대한 공식 자료나 구체적인 제품 사양서 상의 명확한 공개 정보는 없습니다.  
아이오닉 6의 매트릭스 LED 램프는 픽셀 단위로 구성되어 다양한 조명 패턴을 표현할 수 있는 것이 특징이지만,  
제조사에서 공식적으로 밝힌 ""픽셀의 총 개수""에 대한 수치는 공개되지 않았습니다.

즉, 아이오닉 6의 전면 매트릭스 LED 램프와 리어 스포일러에 형상화된 픽셀의 정확한 수는 공개된 정보가 없어 알 수 없습니다.",아이오닉 6의 전면 매트릭스 LED 램프와 리어 스포일러에는 1280개의 픽셀이 형상화되어 있다.,,,,,,
신형『그랜저』의 연구 개발에 투입된 총 비용은 얼마인가?,"신형『그랜저』의 연구 개발에는 총 4,500여억원이 투입되었다.",모른다.,"신형『그랜저』의 연구 개발에 투입된 총 비용은 약 3,500억 원이다.",,,,,,
'뉴 투싼 ix'의 내부 편의성을 높이기 위해 적용된 기능은 무엇인가?,'뉴 투싼 ix'의 내부에는 2열 시트백 조절 기능과 리어 에어벤트가 적용되어 2열 탑승객의 편의성을 높였다.,"뉴 투싼 ix의 내부 편의성을 높이기 위해 적용된 주요 기능은 다음과 같습니다.

1. **10.25인치 클러스터 디스플레이**  
   - 운전석 계기판에 대형 터치스크린을 적용해 다양한 정보를 직관적으로 확인할 수 있습니다.

2. **12.3인치 풀 LCD 센터패시아**  
   - 중앙 콘솔에 큰 디스플레이를 통해 내비게이션, 인포테인먼트, 공조 등 주요 기능을 통합적으로 제어할 수 있습니다.

3. **스마트 키 및 원격 시동**  
   - 스마트키로 차량 문 개폐와 시동을 편리하게 조작할 수 있습니다.

4. **무선 충전 패드**  
   - 스마트폰 무선 충전 기능을 지원해 편리하게 기기를 올려놓고 충전할 수 있습니다.

5. **고급 오디오 시스템**  
   - 고품질 스피커와 다양한 멀티미디어 기능을 제공해 음악 감상 및 내비게이션 안내 청취가 용이합니다.

6. **인공지능 음성 인","'뉴 투싼 ix'에는 ▲스마트폰 무선충전 시스템 ▲스마트폰 USB 충전 기능 ▲뒷좌석 매뉴얼 커튼 ▲전동식 뒷면 유리커튼 등이 추가돼 편의성이 향상됐다. 특히 스마트폰 무선충전 시스템은 국내 최초로 적용된 기능으로, 별도의 케이스를 포함해 현대차의 모든 스마트폰을 구매하면 바로 사용할 수 있다. 또한 스마트폰 USB 충전 기능은 별도의 탈부착 커넥터 없이 스마트폰을 자동차의 USB 단자에 삽입하는 것만으로 충전할 수 있는 새로운 방식의 커넥터를 적용했다. 이 밖에도 '뉴 투싼 ix'는 기존 투싼의 내장 디자인에 메탈 페인트와 항균 처리 가죽시트를 적용해 고급감과 함께 항균성을 강화했으며, 1열 대용량 센터 에어벤트와 2열 열선시트를 새롭게 추가하는 등 편의성을 높였다. 현대차는 '뉴 투싼 ix'의 연비를 기존보다 7.",,,,,,
6단 수동변속기의 특징은 무엇인가?,"6단 수동변속기는 다운시프트 시 엔진 회전을 맞춰주는 기능을 갖고 있으며, 부드러운 작동감을 자랑한다.","6단 수동변속기의 특징은 다음과 같습니다.

- 기어 단수가 6개로 구성되어 있어, 다양한 속도와 엔진 부하 조건에서 효율적으로 변속할 수 있습니다.
- 저속(저단)과 고속(고단) 모두에서 더 세밀한 변속이 가능하여 연비 향상과 가속 성능 개선에 유리합니다.
- 일반적으로 1단~6단까지 있으며, 각 단마다 적절한 속도와 토크 대응이 가능합니다.
- 수동 조작(클러치 페달 사용)이 필요해 운전자가 직접 변속 시점을 선택할 수 있습니다.
- 자동변속기보다 연비가 좋은 경우가 많고, 운전자 취향에 맞는 주행이 가능합니다.
- 일부 차량에서는 1단이 저속 출발용(저단), 2~6단이 고속 주행용으로 설계됩니다.

추가적인 특성이나 세부 사항이 궁금하다면 차량 브랜드나 모델명을 알려주시면 더 구체적으로 안내드릴 수 있습니다.","6단 수동변속기는 일반적으로 1~6단의 기어비를 제공하며, 다양한 엔진 회전수에서 효율적인 동력 전달이 가능하다.",,,,,,
ST1이 중국 상용차 대비 우세한 안전/편의 사양은 무엇인가요?,"ST1은 스마트 워크 어웨이, 카고 후방 충돌 경고, 원격 스마트 주차 보조 등의 안전/편의 사양을 제공합니다.","ST1(토요타의 상용차 모델)이 중국 상용차 대비 우세한 안전/편의 사양은 다음과 같습니다:

- **충돌 안전 성능:** 토요타의 글로벌 안전 기술(예: VSC, ABS, TCS 등) 적용.
- **주행 보조 시스템:** Toyota Safety Sense(전방 충돌 경고, 자동 비상 제동, 차선 이탈 경고 등) 탑재.
- **운전자/탑승자 보호 기술:** 에어백(전/후방), 어린이 보호 시스템, 커튼 에어백 등.
- **편의 사양:** 스마트키, 내비게이션, 블루투스 오디오, 히터/에어컨 자동 조절 등 글로벌 표준 편의 기능.
- **내구성 및 품질:** 일본제 부품과 엄격한 품질 관리로 신뢰성 및 내구성 우수.

※ 중국 상용차와의 구체적 모델 비교는 차종(트럭, 버스 등)에 따라 다를 수 있습니다. 특정 모델명을 알려주시면 더 정확히 안내드릴 수 있습니다.",ST1은 중국 상용차 대비 에어백 개수와 안전 및 편의 사양에서 우세합니다.,,,,,,
베라크루즈 가솔린 모델에 적용된 엔진의 최고출력은 얼마인가?,베라크루즈 가솔린 모델에 적용된 람다 3.8 엔진의 최고출력은 246마력이다.,"베라크루즈 가솔린 모델에 적용된 엔진의 최고출력은 차량의 연식과 세대에 따라 다를 수 있습니다.

- 1세대 베라크루즈(2007~2012년식, 2.4/3.0 가솔린 엔진 기준):
  - 2.4리터 엔진: 최대 출력 168마력(125kw)
  - 3.0리터 엔진: 최대 출력 200마력(149kw)

정확한 모델명이나 연식을 알려주시면 더 구체적으로 안내드릴 수 있습니다.",베라크루즈 가솔린 모델에 적용된 람다 3.8 GDi 엔진의 최고출력은 246마력(ps)이다.,,,,,,
2024 아이오닉 6의 출시일은 언제인가요?,2024 아이오닉 6는 8일(금)에 출시되었습니다.,2024 아이오닉 6의 공식 출시일은 2024년 2월 20일입니다.,2024 아이오닉 6는 7월 9일에 출시되었습니다.,,,,,,
2022 코나의 가솔린 2.0 모델의 가격 범위는 얼마인가?,"2022 코나의 가솔린 2.0 모델의 가격은 2,144만원에서 2,707만원이다.","2022년 코나 가솔린 2.0 모델의 공식 판매 가격 범위는 다음과 같습니다.

- **기본 트림:** 약 2,200만 원 ~ 2,400만 원
- **상위 트림(프레스티지 등):** 약 2,500만 원 ~ 2,700만 원

정확한 가격은 선택 옵션, 프로모션, 지역 딜러에 따라 다를 수 있습니다. 공식 출고가 기준, 기본 사양 기준입니다.","2022 코나의 가솔린 2.0 모델의 가격 범위는 2,379만 원에서 3,276만 원이다.",,,,,,
신형 제네시스의 차체 강성을 높이기 위해 어떤 조치를 취했나요?,신형 제네시스는 초고장력 강판의 적용 비율을 51.5%까지 늘리고 차체 구조용 접착제 적용부위를 123m로 확대해 세계 최고 수준의 차체 강성을 확보했습니다.,"신형 제네시스의 차체 강성을 높이기 위해 다음과 같은 조치가 취해졌습니다:

1. 고장력 강판 사용: 더 두껍고 강한 강판(초고장력 강판, Ultra High Strength Steel)을 차체 주요 부위에 적용하여 충돌 시 변형을 최소화하고 구조적 안전성을 높였습니다.

2. 구조 통합 설계: 차체와 프레임의 경계를 줄이고, 모노코크 방식(프레임과 차체 일체형 구조)을 강화하여 하중 분산과 강성 향상을 도모했습니다.

3. 보강용 접합부 설계: 주요 골격(빔, 크로스 멤버 등)의 연결 부위를 강화하여 충격 시 구조가 분리되거나 약해지는 것을 방지했습니다.

4. 세부 부품 개선: 서스펜션, 브레이크, 엔진 마운트 등 주요 부품의 강성도 함께 높여 전체적인 차체의 진동 및 흔들림 저감 효과도 얻었습니다.

5. 시뮬레이션 및 테스트: 컴퓨터 시뮬","신형 제네시스는 차체 강성을 높이기 위해 주요 부위에 보강재를 추가했습니다. 특히 앞뒤 측면부에 고장력강을 확대 적용하고, 필러와 루프 구조를 개선하여 강성을 강화했습니다. 또한, 차량 하부에도 필요한 부위에 추가로 고장력강을 적용해 강성을 높였습니다. 이러한 조치를 통해 신형 제네시스는 이전 모델 대비 현저히 향상된 차체 강성을 확보했습니다.",,,,,,
캐스퍼 디 에센셜 트림의 특징은 무엇인가요?,캐스퍼 디 에센셜 트림은 고객들이 선호하는 최적의 사양 조합과 합리적인 가격을 갖춘 것이 특징이다.,"캐스퍼 디 에센셜(D-Essential) 트림의 주요 특징은 다음과 같습니다.

- 1.6 터보 가솔린 엔진
- 8인치 내비게이션(풀 LCD)
- 스마트 크루즈 컨트롤(SCC)
- 차로 유지 보조(LFA)
- 후측방 모니터(BVM)
- 고속도로 주행 보조(HDA)
- 운전석 파워 시트
- 열선 시트(운전석)
- 16인치 알로이 휠
- 레인 센싱 와이퍼
- 에코 모드 지원

추가적으로 궁금한 사항이 있으시면 말씀해 주세요.",캐스퍼 디 에센셜 트림은 ▲가죽 스티어링 휠 ▲기어 노브 ▲풀오토 에어컨 ▲마이크로 에어 필터 ▲도어 스팟 램프 ▲후방 모니터 ▲주차 보조 시스템 ▲후방 주차 경고 시스템 ▲LED 헤드램프 ▲리어 와이퍼 및 워셔 등이 포함된 디 에센셜 트림 전용 디자인으로 당당하고 견고한 이미지를 더합니다. 현대자동차 2023 아반떼 현대자동차가 아반떼 기본 모델의 상품성을 개선하고 신규 트림을 추가한 ‘2023 아반떼’를 29일 최상위 트림인 인스퍼레이션에는 신규 사양들을 기본화해 상품성을 강화했다.,,,,,,
현대차와 비트라 디자인 뮤지엄의 파트너십은 몇 년 동안 지속될 예정인가요?,현대차와 비트라 디자인 뮤지엄의 파트너십은 2025년까지 3년간 지속될 예정입니다.,"현대차와 비트라 디자인 뮤지엄의 파트너십 기간에 대한 공식적으로 발표된 구체적인 연수(몇 년 동안 지속될지)에 대한 정보는 현재(2024년 6월 기준) 공개되어 있지 않습니다. 양사의 협업은 디자인과 혁신을 위한 장기적 파트너십임을 밝히고 있으나, 명확한 종료 시점이나 기간은 별도로 발표된 바 없습니다.",현대차와 비트라 디자인 뮤지엄의 파트너십은 2027년까지 3년간 지속될 예정입니다.,,,,,,
캐스퍼에 경형 최초로 기본 적용된 지능형 안전기술 중 하나는 무엇입니까?,캐스퍼에 경형 최초로 기본 적용된 지능형 안전기술 중 하나는 전방 충돌방지 보조(차량/보행자/자전거 탑승자)입니다.,캐스퍼에 경형 최초로 기본 적용된 지능형 안전기술 중 하나는 **전방 충돌 경고 시스템(FCW)**입니다.,캐스퍼에는 지능형 안전기술인 전방 충돌방지 보조-교차로 대향차(FCA-JT)가 경형 최초로 기본 적용되었습니다.,,,,,,
아이오닉 9의 7인승 캘리그래피 트림의 판매 가격은 얼마인가요?,"아이오닉 9의 7인승 캘리그래피 트림의 판매 가격은 7,792만원이다.","2024년 기준, 아이오닉 9의 7인승 캘리그래피 트림의 공식 판매 가격은 국내 기준 약 8,000만 원대 후반에서 9,000만 원 초반 사이로 알려져 있습니다. 정확한 가격은 제조사 공식 홈페이지, 딜러십, 또는 최신 카탈로그를 통해 확인하시는 것이 가장 정확합니다.  
(※ 트림별, 옵션, 지역에 따라 차이가 있을 수 있습니다.)","아이오닉 9의 7인승 캘리그래피 트림의 판매 가격은 1억 3,500만 원입니다.",,,,,,
'헤리티지 시리즈 - 포니'의 실내 클러스터는 어떤 형상으로 디자인되었습니까?,'헤리티지 시리즈 - 포니'의 실내 클러스터는 아날로그 진공관 형상으로 디자인되었습니다.,'헤리티지 시리즈 - 포니'의 실내 클러스터(계기판)는 원형 형상으로 디자인되었습니다.,'헤리티지 시리즈 - 포니'의 실내 클러스터는 휠과 클러스터가 조화롭게 어우러진 형상으로 디자인되었습니다.,,,,,,
더 뉴 투싼의 디지털 클러스터와 인포테인먼트 시스템의 크기는 각각 몇 인치인가?,더 뉴 투싼은 각각 12.3인치의 디지털 클러스터와 인포테인먼트 시스템을 탑재하고 있다.,"더 뉴 투싼(The New Tucson)의 디지털 클러스터(계기판)와 인포테인먼트 시스템(센터패시아 디스플레이)의 크기는 모델, 연식, 옵션에 따라 다를 수 있습니다.

- **디지털 클러스터(계기판):**  
  일반적으로 7인치 또는 8인치 디스플레이가 적용됩니다. (주요 트림 및 옵션에 따라 다름)

- **인포테인먼트 시스템(센터패시아 디스플레이):**  
  8인치, 10.25인치, 12인치 등 다양한 크기가 적용될 수 있습니다.  
  주요 트림(프리미엄, 익스클루시브, 최상위 트림 등)에 따라 차이가 있습니다.

정확한 모델명이나 연식을 알려주시면 더 구체적인 크기를 안내드릴 수 있습니다.",더 뉴 투싼의 디지털 클러스터와 인포테인먼트 시스템의 크기는 각각 12.3인치이다.,,,,,,
신형 제네시스의 대형 터치패널 모니터 크기는 몇 인치인가?,신형 제네시스는 9.2인치의 대형 광시야각 정전식 터치패널 모니터를 갖추고 있다.,"신형 제네시스(2024년 기준) 대형 터치패널 모니터의 공식 인치(inch) 크기는 모델과 트림에 따라 다릅니다.

- G80(일반 트림): 10.25인치
- G80(프레스티지/플래티넘 트림 이상): 12.3인치
- GV80: 12.3인치(일부 트림)

정확한 차종과 옵션에 따라 다르니, 구체적인 차량명을 알려주시면 더 정확히 안내드릴 수 있습니다.",신형 제네시스의 대형 터치패널 모니터 크기는 12.3인치이다.,,,,,,
HED-4 QarmaQ의 '일래스틱 프론트'는 어떤 안전성을 개선했나요?,HED-4 QarmaQ의 '일래스틱 프론트'는 보행자와의 충돌 시 보행자의 심각한 상해를 획기적으로 감소시켜 보행자 안전성을 혁신적으로 개선했습니다.,"HED-4 QarmaQ의 '일래스틱 프론트'는 현대자동차가 개발한 전방 충돌 시 충격을 흡수하고 변형을 유연하게 분산하는 새로운 구조입니다. 이 시스템은 충돌 시 차체와 엔진룸의 변형을 부드럽게 유도하여, 탑승자에게 전달되는 충격을 줄이고, 에너지 흡수 성능을 높여 충돌 안전성을 강화합니다. 또한, 구조적 강성과 함께 유연성을 결합해 차체 손상을 최소화하고, 2차 충격(데드맨 효과) 위험도 감소시킵니다.",HED-4 QarmaQ의 '일래스틱 프론트'는 측면 충돌 시 승객을 차체에 단단히 고정하여 상해를 줄이는 '측면 구조 안정성'을 개선했습니다.,,,,,,
'더 뉴 투싼'의 실내 디자인은 어떤 이미지를 강조하고 있는가?,'더 뉴 투싼'의 실내 디자인은 고급스럽고 하이테크한 이미지를 강조하고 있다.,"‘더 뉴 투싼’의 실내 디자인은 세련된 감성, 첨단 기술, 사용자 중심의 편의성을 강조합니다.  
주요 특징은 다음과 같습니다:

- **미래지향적이고 간결한 구성**: 불필요한 장식을 줄이고, 깔끔하고 넓은 공간감을 연출합니다.
- **고급 소재 적용**: 고급스러운 촉감의 소재와 세련된 컬러를 사용해 품격 있는 분위기를 만듭니다.
- **첨단 디스플레이 및 버튼**: 센터페시아에 대형 터치스크린(인포테인먼트 시스템)을 적용해 현대적인 이미지를 강조합니다.
- **사용자 친화적 배치**: 운전자와 동승자가 편리하게 조작할 수 있도록 주요 버튼과 패널을 직관적으로 배치합니다.
- **공간 효율성**: 실내 공간을 효율적으로 활용해 넓고 쾌적한 느낌을 줍니다.

즉, ‘더 뉴 투싼’의 실내 디자인은 미래지향성, 고급감",'더 뉴 투싼'의 실내 디자인은 '끊김 없이 연결된 수평형 조형미'를 강조한다. 현대차는 실내 디자인을 계승하면서도 ▲버튼 최적화 ▲불필요한 요소 제거 등을 통해 보다 심플하고 직관적인 구성을 구현했다. 또한 ▲인포테인먼트 시스템 내 공조 제어 통합 등으로 공간 활용성을 높였으며 ▲넓은 수평형 레이아웃의 대화면 디스플레이를 적용해 하이테크한 이미지를 연출했다. 이 밖에도 '더 뉴 투싼'은 ▲실내에 항균 처리된 소재를 적용하고 ▲정규 모델보다 두꺼운 12.3인치 클러스터를 적용해 고급감을 향상시키는 등 코로나 시대에 걸맞은 감성 상품성을 강화했다.,,,,,,
얼리버드 계약 프로모션은 언제 시작하고 언제 종료되나요?,얼리버드 계약 프로모션은 4월 24일(수)부터 5월 24일(수)까지 진행됩니다.,"알려주신 정보(“얼리버드 계약 프로모션”)만으로는 구체적으로 어떤 차량, 브랜드, 또는 특정 프로모션을 의미하는지 알 수 없습니다. 각 자동차 제조사나 딜러사마다 프로모션의 시작일과 종료일이 다르기 때문에, 해당 프로모션의 공식 발표 자료, 홈페이지, 또는 딜러 문의를 통해 정확한 일정(시작일과 종료일)을 확인하셔야 합니다.

모른다.",얼리버드 계약 프로모션은 2월 13일(화)부터 3월 31일(수)까지 진행됩니다.,,,,,,
'유니버스' 모델의 연비는 기존 차량에 비해 몇 퍼센트 개선되었나요?,'유니버스' 모델의 연비는 기존 차량에 비해 7% 개선되었습니다.,모른다.,'유니버스' 모델의 연비는 기존 차량에 비해 7% 개선되었습니다.,,,,,,
투싼의 최상위 트림 인스퍼레이션에는 어떤 유리가 기본으로 적용되었나요?,투싼의 최상위 트림 인스퍼레이션에는 1열 이중접합 차음유리가 기본으로 적용되었습니다.,"투싼의 최상위 트림인 인스퍼레이션(2024년 기준, 현대 투싼 인스퍼레이션 트림 기준)에 기본 적용되는 유리는 다음과 같습니다.

- 전면 유리: 이중 접합 차음 유리(DGNR, Double Glazed Noise Reducing Glass)
- 측면 유리: 이중 접합 차음 유리(DGNR)
- 후면 유리: 이중 접합 차음 유리(DGNR)

기본적으로 모든 창문(전·후·측면)에 이중 접합 차음 유리가 적용됩니다. 이는 소음 저감 및 안전 강화를 위한 사양입니다.  
(트림, 연식에 따라 일부 변경 가능. 최신 사양은 공식 카탈로그 또는 현대자동차 고객센터 확인 권장.)",투싼의 최상위 트림 인스퍼레이션에는 고품격 감성 상품화 'UX 트림'이 기본 적용되었습니다.,,,,,,
'싼타페 2014'의 주력 트림인 '프리미엄'의 가격은 얼마인가?,"'싼타페 2014'의 주력 트림인 '프리미엄'의 가격은 2,970만원이다.","2014년형 싼타페 '프리미엄' 트림의 정확한 판매 가격은 연식, 옵션, 차량 상태 등에 따라 다를 수 있습니다. 공식 출고가 기준으로,  
- **기본형(2.0 디젤, 자동변속기 기준)**  
  - 2,790~3,000만 원대(옵션 및 선택 사양에 따라 상이)  
이었습니다.

정확한 단일 가격을 제시하기 어렵지만,  
**2014년 싼타페 프리미엄 트림은 약 2,800만 원대에서 3,200만 원 사이**에서 형성되었습니다.  
(출처: 자동차 가격 비교 사이트, 중고차 시세, 현대자동차 공식 자료)

정확한 가격은 구매 희망 지역, 옵션, 사용감 등에 따라 달라질 수 있으니 참고 바랍니다.","'싼타페 2014'의 주력 트림인 '프리미엄'의 가격은 2,795만원이다.",,,,,,
GP380 모델의 최고출력은 몇 마력인가요?,GP380 모델의 최고출력은 334마력입니다.,모른다.,GP380 모델의 최고출력은 340마력(ps)입니다.,,,,,,
더 뉴 아이오닉 일렉트릭의 N 트림 가격은 얼마인가?,"더 뉴 아이오닉 일렉트릭의 N 트림 가격은 4,140만 원이다.","2024년 기준, 더 뉴 아이오닉 일렉트릭의 N 트림(국내 기준) 가격은 다음과 같습니다.

- **기본 트림**: 약 5,000만 원 ~ 5,300만 원대
- **N 트림(고성능 모델)**: 약 5,500만 원 ~ 5,700만 원대

정확한 가격은 출고 옵션, 지역, 프로모션에 따라 다를 수 있습니다. 공식 현대자동차 홈페이지 또는 딜러십에서 최신 견적을 확인하는 것이 가장 정확합니다.","더 뉴 아이오닉 일렉트릭의 N 트림 가격은 3,715만 원이다.",,,,,,
현대차의 미래 모빌리티 디자인 테마인 '인사이드 아웃'은 어떤 개념인가?,'인사이드 아웃'은 인테리어에서 느낄 수 있는 공간성과 개방감을 외장 디자인으로 확장해 내·외장 디자인을 일체화한 개념이다.,"현대차의 미래 모빌리티 디자인 테마 '인사이드 아웃(Inside Out)'은 외부 디자인을 기존과 달리, 차량 내부 공간과 경험을 먼저 고려해 그에 맞춰 외부 디자인을 설계하는 방식입니다. 즉, 탑승자 중심의 사용자 경험(UX)을 최우선으로 두고, 내부 공간의 유연성과 편안함을 먼저 디자인한 뒤, 이를 바탕으로 외관을 설계하는 현대차의 새로운 디자인 철학입니다.",'인사이드 아웃'은 실내 디자인의 공간성과 개방감을 외장까지 확장한 개념이다.,,,,,,
현대차 엑센트의 차체 강성은 기존 모델 대비 몇 퍼센트 증가했나요?,현대차 엑센트의 차체 강성은 기존 모델보다 32%가량 증가했습니다.,"현대차 엑센트의 차체 강성 증가율에 대한 구체적인 수치는 공개된 공식 자료나 신뢰할 수 있는 자동차 전문 매체의 최근 정보가 필요합니다. 현재까지의 공개된 자료(2024년 6월 기준)에서는 현대차 엑센트의 특정 모델(예: 1세대, 2세대 등)별로 차체 강성 증가율이 얼마나 되었는지에 대한 정확한 퍼센트(%) 수치를 직접적으로 확인할 수 없습니다.

정확한 수치가 필요하다면, 해당 연식이나 세대의 엑센트와 이전 모델의 차체 강성 테스트 결과를 비교한 공식 자료 또는 현대자동차의 공식 보도자료, 자동차 전문지의 리뷰 등을 참고해야 합니다.

추가 정보 없이 일반적으로 현대차는 최신 모델에서 차체 강성을 높이기 위해 고장력 강판 사용 비중을 늘리거나 구조를 개선하는 방식을 사용해왔습니다. 그러나 구체적인 퍼센트 증가는 모델별, 연식별로 다르므로 별도의 자료가 필요합니다.

**모른다.**",현대차 엑센트의 차체 강성은 기존 모델 대비 20% 증가했습니다.,,,,,,
